url,title,price,location,bedrooms,bathrooms,area
https://bh.opensooq.com/en/search/286549240,Shop for rent in Isa Town with cr 2 visa 150 bd only,150,"Isa Town, Central Governorate",,,30 m2
https://bh.opensooq.com/en/search/284817558,للايجار ستوديو مفروش Spiral Orchid مع الكهرباء والماء والواي فاي وخدمات المبنى فقط 350 دينار,350,"Seef, Manama",Studio,1,43 m2
https://bh.opensooq.com/en/search/286547060,"2BHK Apartment for Rent in Sayah, Busaiteen  EWA Included",250,"Al Sayh, Muharraq",2,2,85 m2
https://bh.opensooq.com/en/search/286544836,للإيجار شقة بسماهيج 120 غير شامل الكهرباء والماء,120,"Samaheej, Muharraq",2,2,70 m2
https://bh.opensooq.com/en/search/286543242,الايجار شقة في الرفاع الشرقي,140,"Eastern Riffa, Southern Governorate",3,2,100 m2
https://bh.opensooq.com/en/search/286542408,اجمل و ارخص ارض في دلمونيا على البحر المفتوح 774متر مربع..,"250,000","Dilmunia Island, Muharraq",,,
https://bh.opensooq.com/en/search/286542254,Studio for rent in jedali,120,"Jid Ali, Central Governorate",Studio,1,100 m2
https://bh.opensooq.com/en/search/286541994,للبيع شقة ثلاث غرف في منطقة الحد الجديدة,"42,000","Hidd, Muharraq",3,3,130 m2
https://bh.opensooq.com/en/search/286541942,Studio Apartment for Sale – Waterbay Middle Tower,"48,000","Bahrain Bay, Manama",Studio,1,36 m2
https://bh.opensooq.com/en/search/286541594,شقه للايجار غير مفروشه شاملة الكهرباء بس السعر بدون كهرباء التواصل واتساب,260,"Eastern Riffa, Southern Governorate",2,2,1155 m2
https://bh.opensooq.com/en/search/286539156,للبيع مبنى تجاري,"10,000,000","Galaly, Muharraq",3,,500 m2
https://bh.opensooq.com/en/search/286536942,Flat For Rent in Muharraq with EWA,160,"Muharraq City, Muharraq",2,2,80 ft²
https://bh.opensooq.com/en/search/286535406,منزل كبير في دوار 22 فرصة استثمارية,"170,000","Dar Kulaib, Northern Governorate",6+,,486 m2
https://bh.opensooq.com/en/search/284563138,.للبيع ارض استثماري تصلح لمشروع شقق او سكني,"118,000","Tubli, Central Governorate",,,
https://bh.opensooq.com/en/search/284562684,للبيع شقة في الحد بسعر مميز,"41,000","Hidd, Muharraq",3,3,101 m2
https://bh.opensooq.com/en/search/286532884,شقة واسعة بغرفة نوم  قرب RCSI  مفروشة  مسبح,330,"Busaiteen, Muharraq",1,2,125 m2
https://bh.opensooq.com/en/search/286481002,Studio apartment for rent - salmabad,140,"Salmabad, Central Governorate",Studio,1,70 m2
https://bh.opensooq.com/en/search/286527498,Room for Sharing in a 2 BHK Flat,130,"Umm Al Hassam, Manama",,,
https://bh.opensooq.com/en/search/286526366,فيلا راقية للايجار - النسيم / ديار المحرق .. luxury villa for rent Al naseem diyar almuharraq,"1,400","Diyar Al Muharraq, Muharraq",4,5,300 m2
https://bh.opensooq.com/en/search/286526278,للايجار ستديو مفروش بالكامل في جدعليfurnished studio apartment for rent in Jid Ali.,180,"Jid Ali, Central Governorate",Studio,1,35 m2
https://bh.opensooq.com/en/search/284554378,شقة جديدة بتشطيب راقٍ ومساحات رحبة وبلكونات متعددة,"48,000","Hidd, Muharraq",3,3,120 m2
https://bh.opensooq.com/en/search/286525574,2 BHK Unlimited EWA Furnished Apartment BD-340  Housekeeping  In JUFFAIR,340,"Muharraq City, Muharraq",2,2,220 m2
https://bh.opensooq.com/en/search/285532724,للبيع شقة جديدة اول ساكن بسعر مغري جدا,"37,000","Hidd, Muharraq",2,1,78 m2
https://bh.opensooq.com/en/search/286521076,COMMERCIAL SPACE FOR RENT – MUHARRAQ,1,"Busaiteen, Muharraq",,,300 m2
https://bh.opensooq.com/en/search/284548822,للبيع أرض في منطقة الحد بسعر مميز جدا,"134,000","Hidd, Muharraq",,,
